word	weight
on	0.045035996273705005
ei	0.04006448874508228
ja	0.06842411132841428
se	0.03432871683458132
hän	0.03013845398342721
en	0.027020284265871455
mitä	0.04104507840566064
että	0.08263013548003595
ole	0.02062750593781755
olen	0.02492200833139971
niin	0.0973463280516695
oli	0.09275545449141781
mutta	0.016938424873323216
vain	0.02821942464295364
sen	0.02711595416087932
minä	0.020640269230613774
jos	0.014200816896381543
nyt	0.01635420600134966
tämä	0.015794450105463407
sinä	0.015218574027255571
voi	0.014709320531148165
olet	0.01372135798112891
kun	0.012617985486229263
sitä	0.013119998918327807
kuin	0.020281137544720846
he	0.020775141815406545
täällä	0.009849549618131776
hänen	0.019373770748869694
kaikki	0.008922840462531237
minun	0.00706309822713557
et	0.008801293052837274
olla	0.008741206433228784
hyvä	0.008568112909198674
ovat	0.0067650057279787686
minua	0.007629564735577717
sitten	0.007203461564313147
onko	0.005728550784181148
sinua	0.005097376222375314
miksi	0.005048381676240695
miten	0.006162488273274379
älä	0.006071738753065904
sinun	0.005996904100558557
kyllä	0.00574994598694005
mitään	0.007317161254456055
siitä	0.00561917700833591
hänet	0.0055226579243390465
kiitos	0.005373352538121642
hei	0.004081548180114324
mikä	0.004824790630506586
ne	0.0045386384212587755
olisi	0.004430580806931288
kanssa	0.0032619797298051503
joka	0.0038151395258376546
pitää	0.003809657071425148
ollut	0.003746626557428385
tässä	0.003391099084572871
tai	0.003335154250955074
häntä	0.0032735602943648567
minulle	0.003258489684025392
tiedä	0.003237677165403112
minulla	0.003208795366831917
jotain	0.003001205359407575
missä	0.0028984496484137567
tuo	0.0027582156713886552
minut	0.0027476370682862792
me	0.0021687566533539803
ehkä	0.0026733964810427735
oletko	0.002064643569431335
hyvin	0.0025359608135267766
vielä	0.0025251467804464672
kuka	0.0025233019734237907
anteeksi	0.002476005452243844
sinulle	0.0024660163171698747
jo	0.002392312789715947
sinut	0.0023789760393456987
tämän	0.0022875885078103234
haluan	0.0021940801381240367
tänne	0.002157520820434791
koska	0.0021165053351806288
olemme	0.0020960687834597346
tehdä	0.002075183914928301
meidän	0.0020409901951105695
tiedän	0.002035263640733896
tule	0.0029732871012478792
emme	0.0018400457701863283
saa	0.0017447741921221057
paljon	0.001361961067311508
anna	0.0013399695346115632
siellä	0.0016419831932402507
pois	0.0015779374946002483
täytyy	0.0015227374419825113
sinulla	0.0015080537769539182
eivät	0.001173383883695235
tätä	0.001461263372864156
tulee	0.0014389169794740138
ennen	0.001432365389367819
aina	0.0013991823174624924
siinä	0.0013674741843862723
herra	0.001309058313322193
takaisin	0.001276199197983533
eikö	0.0012716003500945908
enää	0.0012542808221658978
te	0.0012400639821159656
selvä	0.0011666124711462982
mistä	0.0011579862270653671
yksi	0.0011544902502524223
juuri	0.0008963395598916185
näin	0.0010844271011409465
kuinka	0.001063663783345066
halua	0.0010479582409506295
pitäisi	0.0010410968720769734
vai	0.0010353103527376167
koko	0.001011794567195105
mennä	0.0009988821364853853
kaksi	0.0009705378838576825
olin	0.0009619878451549847
meillä	0.0009612632501836112
joku	0.0007675375507104561
koskaan	0.0007605722018157556
hänelle	0.0009236764154979751
kai	0.0008953088760643378
tästä	0.000880231013083997
mies	0.0008748714509823659
tietää	0.0008536943969284219
aivan	0.0008452690486263812
no	0.0008277367887479476
isä	0.0007872367240299796
voin	0.0007709503432569695
ihan	0.0007709503432569695
joten	0.0007690051955371617
mene	0.000756614430820182
totta	0.000747624687797093
oikein	0.0011884721808333581
vähän	0.0007314304759229597
siis	0.0007287606946782017
entä	0.0011491517430834946
aika	0.0007083064687052753
siihen	0.000695131264729162
olette	0.0006877231379471783
kuten	0.0006613000765599529
äiti	0.0006272422637822675
hyvää	0.0006261058041841173
teet	0.0006183288401267438
edes	0.0004919045236757586
todella	0.0006008569876857114
eikä	0.0005713304911934697
voit	0.0005699111460645967
kukaan	0.00055709040768252
aikaa	0.0005558305213718962
haluat	0.000552216292939856
kunnossa	0.0005494585845810527
minusta	0.0005430455912397131
itse	0.0008679273017188497
vaan	0.0005402333172017658
myös	0.0005338282706885334
mukaan	0.0005259139507120512
ulos	0.0005221086127582491
sillä	0.0005189100319948266
sanoi	0.000514115450383469
kaiken	0.0005123458863481572
noin	0.0005036936475739593
katso	0.0004847857751364957
tulla	0.00048211417763943274
ettei	0.00048142545888813084
pidä	0.00047303949607303906
hänellä	0.00047031363430557354
taas	0.0004689825722984832
auttaa	0.00044713707210033103
päästä	0.00044271529777990804
jälkeen	0.0004404005605442616
tänään	0.0004302462501371964
etkö	0.0004297893919266296
pahoillani	0.00042435352795139726
sinusta	0.00042325402451916775
puhua	0.00042145666758938065
vaikka	0.0006713516085918699
heidän	0.0003341459092377252
niitä	0.00041652343650842296
kerro	0.0004150668120767159
tuli	0.0004143462514139901
liian	0.0004122018796473981
kotiin	0.00040877975689022444
teidän	0.0004062191620484561
kiinni	0.00040288901553370293
tee	0.0003894287767206882
näyttää	0.0003822686488282956
meitä	0.0006095639984341158
muuta	0.0003808862882791065
vuotta	0.0003658583542974851
mennään	0.00035373979911332314
nähdä	0.0003491590712939272
heti	0.00034086325498634167
ilman	0.0003405551801532515
nämä	0.00033980406210404486
haluatko	0.0003379114861972001
sinne	0.00033669762115717686
saat	0.0003343130629487158
ette	0.00033353228572222023
sanoa	0.00033013924818432153
tapahtui	0.00032664288728415645
varmasti	0.00032143922982900936
jotka	0.00032073342092350235
ota	0.00031854915166509417
kolme	0.00031848957691808994
antaa	0.00031739439594349357
tähän	0.0003130679709691585
tiedät	0.00030688539954073124
